21 1.0000 4.0000 3.0000 3.0000 4.0000 3.0000 7.0000 7.0000 7.0000 6.0000 6.0000 5.0000 7.0000 6.0000 7.0000 7.0000 5.0000 5.0000 5.0000 5.0000 5.0000 5.0000 4.0000 1.0000 1.0000 1.0000 1.0000 1.0000 5.0000 5.0000 5.0000 5.0000 2.0000 6.0000 5.0000 6.0000 6.0000 3.0000
46 3.0000 4.0000 4.0000 4.0000 4.0000 4.0000 7.0000 5.0000 7.0000 6.0000 7.0000 7.0000 6.0000 6.0000 7.0000 7.0000 7.0000 7.0000 4.0000 4.0000 5.0000 6.0000 4.0000 4.0000 3.0000 3.0000 4.0000 4.0000 5.0000 4.0000 4.0000 4.0000 4.0000 4.0000 5.0000 5.0000 4.0000 4.0000
8 7.0000 5.0000 5.0000 5.0000 6.0000 5.0000 5.0000 4.0000 4.0000 5.0000 5.0000 5.0000 5.0000 5.0000 5.0000 5.0000 4.0000 6.0000 2.0000 1.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 3.0000 1.0000 4.0000 5.0000 5.0000 4.0000 4.0000 5.0000 5.0000 5.0000 4.0000 3.0000
47 4.0000 4.0000 3.0000 4.0000 4.0000 3.0000 4.0000 4.0000 3.0000 4.0000 5.0000 6.0000 5.0000 4.0000 6.0000 7.0000 5.0000 6.0000 4.0000 5.0000 5.0000 3.0000 5.0000 5.0000 3.0000 4.0000 3.0000 4.0000 5.0000 6.0000 6.0000 5.0000 3.0000 5.0000 5.0000 7.0000 5.0000 2.0000
32 2.0000 5.0000 3.0000 5.0000 4.0000 4.0000 5.0000 6.0000 6.0000 5.0000 7.0000 6.0000 6.0000 7.0000 7.0000 7.0000 7.0000 6.0000 7.0000 7.0000 7.0000 6.0000 7.0000 4.0000 3.0000 2.0000 3.0000 5.0000 4.0000 4.0000 4.0000 5.0000 3.0000 5.0000 4.0000 5.0000 4.0000 4.0000
48 4.0000 3.0000 3.0000 4.0000 3.0000 2.0000 5.0000 4.0000 7.0000 6.0000 6.0000 5.0000 5.0000 4.0000 6.0000 6.0000 6.0000 5.0000 4.0000 5.0000 5.0000 4.0000 4.0000 1.0000 1.0000 3.0000 2.0000 3.0000 2.0000 2.0000 2.0000 1.0000 6.0000 2.0000 2.0000 2.0000 3.0000 7.0000
49 6.0000 6.0000 6.0000 6.0000 5.0000 7.0000 6.0000 6.0000 6.0000 5.0000 6.0000 7.0000 4.0000 5.0000 6.0000 6.0000 6.0000 4.0000 1.0000 2.0000 1.0000 3.0000 2.0000 4.0000 4.0000 3.0000 3.0000 4.0000 4.0000 4.0000 3.0000 5.0000 4.0000 4.0000 5.0000 3.0000 4.0000 4.0000
50 4.0000 4.0000 4.0000 4.0000 5.0000 4.0000 4.0000 6.0000 5.0000 3.0000 4.0000 3.0000 5.0000 5.0000 5.0000 5.0000 4.0000 3.0000 4.0000 4.0000 4.0000 4.0000 4.0000 3.0000 3.0000 3.0000 2.0000 3.0000 3.0000 5.0000 3.0000 4.0000 5.0000 3.0000 3.0000 2.0000 3.0000 5.0000
9 6.0000 4.0000 5.0000 4.0000 5.0000 4.0000 5.0000 7.0000 7.0000 6.0000 5.0000 6.0000 7.0000 7.0000 7.0000 5.0000 6.0000 7.0000 5.0000 6.0000 7.0000 5.0000 5.0000 2.0000 2.0000 2.0000 1.0000 2.0000 4.0000 5.0000 5.0000 4.0000 5.0000 6.0000 6.0000 5.0000 4.0000 4.0000
23 4.0000 2.0000 4.0000 4.0000 3.0000 3.0000 6.0000 7.0000 5.0000 7.0000 6.0000 6.0000 4.0000 4.0000 6.0000 5.0000 7.0000 5.0000 5.0000 5.0000 6.0000 5.0000 5.0000 2.0000 3.0000 3.0000 3.0000 3.0000 4.0000 4.0000 4.0000 3.0000 5.0000 2.0000 3.0000 4.0000 3.0000 5.0000
51 4.0000 5.0000 4.0000 5.0000 5.0000 5.0000 7.0000 6.0000 7.0000 5.0000 4.0000 4.0000 7.0000 6.0000 6.0000 5.0000 7.0000 7.0000 3.0000 4.0000 4.0000 4.0000 3.0000 2.0000 2.0000 1.0000 2.0000 1.0000 7.0000 6.0000 6.0000 6.0000 1.0000 6.0000 6.0000 7.0000 6.0000 3.0000
52 3.0000 2.0000 4.0000 3.0000 4.0000 3.0000 6.0000 7.0000 7.0000 7.0000 7.0000 7.0000 7.0000 7.0000 5.0000 7.0000 7.0000 7.0000 6.0000 4.0000 6.0000 5.0000 5.0000 1.0000 2.0000 3.0000 1.0000 2.0000 5.0000 5.0000 5.0000 5.0000 4.0000 5.0000 6.0000 5.0000 5.0000 3.0000
