"model","eq","term","b","se","p"
"M3","BE_int","Narcissism_c:Empowering_c",0.0308104650864912,0.0750149570563034,0.681533436977821
"M3","BE_int","Autocratic_c:PowerDistance_c",-0.0233889997586958,0.0670087470494783,0.727272353583666
"M3","BE_int","Empowering_c:PowerDistance_c",-0.153270602406397,0.0632207497180811,0.0158557348903361
"M3","ME_main","(Intercept)",0.0699869083338211,0.0772721369028314,0.365725532727235
"M3","ME_main","Autocratic_c",0.570732268997254,0.0608849629607384,1.00714455277829e-18
"M3","ME_main","Empowering_c",-0.40199475683722,0.0566153088165304,7.30802098126449e-12
"M3","ME_main","Narcissism_c",0.0563267583700761,0.0579121798421187,0.331431800591554
"M3","ME_main","PowerDistance_c",0.0688883212290683,0.0580468663003819,0.236146627446369
"M3","ME_main","FollowerAge_c",0.00261274922234453,0.0111695613999179,0.815190272712246
"M3","ME_main","Gender_Male",-0.124584025306279,0.103655615057019,0.230237456802341
"M3","ME_main","TenureWithLeader_c",0.0164385791783072,0.0351684859263324,0.640496294344909
"M3","ME_main","InteractionFreq_c",0.0160075659618824,0.047734760710853,0.73757241429563
"M3","ME_int","(Intercept)",0.0500823173485616,0.0769470006009307,0.515571506142141
"M3","ME_int","Autocratic_c",0.592763618175631,0.0606216134873097,4.62782108783175e-20
"M3","ME_int","Narcissism_c",0.0503609998826585,0.0576418036265415,0.38290439911397
"M3","ME_int","Empowering_c",-0.396998748485691,0.0563973224118074,1.07301473045623e-11
"M3","ME_int","PowerDistance_c",0.0762480459008774,0.0576604495341327,0.18693614240437
"M3","ME_int","FollowerAge_c",0.00333314047698779,0.0110780568417219,0.763691647921659
"M3","ME_int","Gender_Male",-0.100975944883421,0.102925441895115,0.327261148841863
"M3","ME_int","TenureWithLeader_c",0.00863117798192354,0.0348809320197454,0.804711751094934
"M3","ME_int","InteractionFreq_c",0.00836022346852381,0.0472361094839154,0.859623217233907
"M3","ME_int","Autocratic_c:Narcissism_c",0.0591727879370511,0.071004107788109,0.405220389596949
"M3","ME_int","Narcissism_c:Empowering_c",0.0718121709077235,0.0710956812453316,0.313176288397467
"M3","ME_int","Autocratic_c:PowerDistance_c",-0.129949090102841,0.0635077684214771,0.0415063062266348
"M3","ME_int","Empowering_c:PowerDistance_c",0.0589711135681006,0.0599176810389162,0.32571594276823
"M3","THR","(Intercept)",0.00597589597564683,0.0499560629932367,0.904852420663791
